step,id,x,y,z
31,2,2.52058e+09,2.70905e+09,1.27303e+09
31,3,2.78615e+09,1.03665e+09,7.68178e+08
31,4,2.36751e+09,2.09042e+09,1.66677e+09
31,5,4.43555e+08,1.74157e+09,1.70548e+09
31,6,4.56547e+08,6.58576e+07,1.66532e+09
31,7,1.16031e+09,2.784e+09,5.40638e+08
31,8,1.42713e+09,7.72928e+08,2.93295e+09
31,9,4.82721e+08,2.00353e+09,2.2927e+09
32,0,4.86857e+08,2.97191e+09,1.25903e+08
32,1,1.62188e+09,1.78907e+08,1.89638e+09
32,2,2.52019e+09,2.70843e+09,1.27325e+09
32,3,2.78583e+09,1.03687e+09,7.68449e+08
32,4,2.36732e+09,2.09068e+09,1.66637e+09
32,5,4.43937e+08,1.74181e+09,1.70623e+09
32,6,4.56926e+08,6.62369e+07,1.66546e+09
32,7,1.16005e+09,2.78385e+09,5.40716e+08
32,8,1.42705e+09,7.73032e+08,2.93243e+09
32,9,4.82977e+08,2.00311e+09,2.29203e+09
33,0,4.87313e+08,2.97163e+09,1.26341e+08
33,1,1.62157e+09,1.79358e+08,1.89648e+09
33,2,2.51979e+09,2.70779e+09,1.27349e+09
33,3,2.7855e+09,1.0371e+09,7.68728e+08
33,4,2.36712e+09,2.09095e+09,1.66597e+09
33,5,4.44332e+08,1.74206e+09,1.70701e+09
33,6,4.57316e+08,6.66277e+07,1.66559e+09
33,7,1.15978e+09,2.7837e+09,5.40796e+08
33,8,1.42696e+09,7.73139e+08,2.9319e+09
33,9,4.8324e+08,2.00267e+09,2.29133e+09
34,0,4.87781e+08,2.97135e+09,1.26792e+08
34,1,1.62126e+09,1.79822e+08,1.8966e+09
34,2,2.51937e+09,2.70713e+09,1.27373e+09
34,3,2.78516e+09,1.03733e+09,7.69016e+08
34,4,2.36692e+09,2.09123e+09,1.66555e+09
34,5,4.44738e+08,1.74232e+09,1.70781e+09
34,6,4.57719e+08,6.70302e+07,1.66573e+09
34,7,1.1595e+09,2.78354e+09,5.40878e+08
34,8,1.42687e+09,7.73249e+08,2.93135e+09
34,9,4.83512e+08,2.00223e+09,2.29062e+09
35,0,4.88264e+08,2.97106e+09,1.27256e+08
35,1,1.62094e+09,1.803e+08,1.89671e+09
35,2,2.51895e+09,2.70645e+09,1.27397e+09
35,3,2.78481e+09,1.03757e+09,7.69312e+08
35,4,2.36672e+09,2.09152e+09,1.66511e+09
35,5,4.45156e+08,1.74258e+09,1.70863e+09
35,6,4.58133e+08,6.74443e+07,1.66587e+09
35,7,1.15921e+09,2.78338e+09,5.40962e+08
35,8,1.42677e+09,7.73362e+08,2.93079e+09
35,9,4.83791e+08,2.00177e+09,2.28989e+09
36,0,4.8876e+08,2.97076e+09,1.27733e+08
36,1,1.62061e+09,1.80791e+08,1.89683e+09
36,2,2.51851e+09,2.70575e+09,1.27423e+09
36,3,2.78444e+09,1.03782e+09,7.69616e+08
36,4,2.3665e+09,2.09182e+09,1.66467e+09
36,5,4.45586e+08,1.74285e+09,1.70947e+09
36,6,4.58558e+08,6.78699e+07,1.66602e+09
36,7,1.15892e+09,2.78322e+09,5.41048e+08
36,8,1.42668e+09,7.73478e+08,2.9302e+09
36,9,4.84078e+08,2.0013e+09,2.28913e+09
37,0,4.8927e+08,2.97045e+09,1.28223e+08
37,1,1.62027e+09,1.81296e+08,1.89695e+09
37,2,2.51806e+09,2.70504e+09,1.27449e+09
37,3,2.78407e+09,1.03807e+09,7.69929e+08
37,4,2.36628e+09,2.09212e+09,1.66421e+09
37,5,4.46027e+08,1.74313e+09,1.71035e+09
